ID_MT,ENTIDAD,GiZScore,Fallecidos,GiPValue,Tramo,Nombre,Latitud,Longitud,PR,Municipio,Departamento,divipola
<Null>,INVIAS-OTROS,2.562283,7,0.010399,Cali-Dagua,,3.451146,-76.539785,sd,CALI,VALLE DEL CAUCA,76001
<Null>,INVIAS-OTROS,1.771262,11,0.076517,Cali-Dagua,,3.452461,-76.553232,sd,CALI,VALLE DEL CAUCA,76001
<Null>,INVIAS-OTROS,2.454862,1,0.014094,Cali-Dagua,,3.451813,-76.566716,sd,CALI,VALLE DEL CAUCA,76001
<Null>,INVIAS-OTROS,1.771262,11,0.076517,Cali-Dagua,,3.45358,-76.571696,sd,CALI,VALLE DEL CAUCA,76001
<Null>,INVIAS-OTROS,2.625762,7,0.008646,Cali-Dagua,,3.461738,-76.585255,9,CALI,VALLE DEL CAUCA,76001
<Null>,INVIAS-OTROS,1.93442,5,0.053062,Cali-Dagua,,3.659968,-76.687838,48,DAGUA,VALLE DEL CAUCA,76233
<Null>,INVIAS-OTROS,2.283962,9,0.022374,Buenaventura-Citronela,,3.886307,-76.957788,16,BUENAVENTURA,VALLE DEL CAUCA,76109
<Null>,INVIAS-OTROS,2.283962,6,0.022374,Buenaventura-Citronela,,3.877498,-76.969294,15,BUENAVENTURA,VALLE DEL CAUCA,76109
<Null>,INVIAS-OTROS,3.822062,7,0.000132,Buenaventura-Citronela,,3.870116,-76.980122,12,BUENAVENTURA,VALLE DEL CAUCA,76109
<Null>,INVIAS-OTROS,4.027295,18,0.000056,Buenaventura-Citronela,,3.867071,-76.989767,12,BUENAVENTURA,VALLE DEL CAUCA,76109
<Null>,INVIAS-OTROS,2.113062,11,0.034595,Loboguerrero - Buga,,3.892281,-76.330593,117,BUGA,VALLE DEL CAUCA,76111
<Null>,INVIAS-OTROS,4.771095,19,0.000002,Aguachica  - San Roque,,8.317272,-73.59724,67,AGUACHICA,CESAR,20011
<Null>,INVIAS-OTROS,4.475148,18,0.000008,Aguachica  - San Roque,,8.615513,-73.635588,1,LA GLORIA,CESAR,20383
<Null>,INVIAS-OTROS,3.291359,14,0.000997,Aguachica  - San Roque,,8.678751,-73.655793,9,PELAYA,CESAR,20550
3G012,ANI,2.403517,11,0.016238,Carmen de Bolívar-Bosconia,Ruta del Sol 3,9.955669,-73.917679,22,BOSCONIA,CESAR,20060
3G012,ANI,3.883253,16,0.000103,Bosconia - Cienaga,Ruta del Sol 3,9.93861,-73.862205,84,BOSCONIA,CESAR,20060
3G012,ANI,1.811623,9,0.070044,San Roque - Bosconia,Ruta del Sol 3,9.607065,-73.612902,38,EL PASO,CESAR,20250
3G012,ANI,2.10757,10,0.035068,San Roque - Bosconia,Ruta del Sol 3,9.319363,-73.516691,4,CURUMANÍ,CESAR,20228
<Null>,INVIAS-OTROS,1.811623,9,0.070044,Aguachica  - San Roque,,9.212012,-73.526195,79,CURUMANÍ,CESAR,20228
<Null>,INVIAS-OTROS,2.10757,10,0.035068,Aguachica  - San Roque,,8.988073,-73.629476,45,PAILITAS,CESAR,20517
<Null>,INVIAS-OTROS,5.954884,23,0,Aguachica  - San Roque,,8.91766,-73.642138,37,PAILITAS,CESAR,20517
<Null>,INVIAS-OTROS,1.848127,7,0.064584,Yumbo - Yotoco - Buga,,3.597351,-76.483492,14,YUMBO,VALLE DEL CAUCA,76892
<Null>,INVIAS-OTROS,3.655345,5,0.000257,Yumbo - Yotoco - Buga,,3.591317,-76.483483,13,YUMBO,VALLE DEL CAUCA,76892
<Null>,INVIAS-OTROS,4.449778,10,0.000009,Yumbo - Yotoco - Buga,,3.585137,-76.484617,13,YUMBO,VALLE DEL CAUCA,76892
<Null>,INVIAS-OTROS,4.582184,18,0.000005,Yumbo - Yotoco - Buga,,3.577806,-76.486178,11,YUMBO,VALLE DEL CAUCA,76892
<Null>,INVIAS-OTROS,4.317373,8,0.000016,Yumbo - Yotoco - Buga,,3.5689,-76.485162,10,YUMBO,VALLE DEL CAUCA,76892
<Null>,INVIAS-OTROS,3.714522,8,0.000204,Yumbo - Yotoco - Buga,,3.563146,-76.489157,8,YUMBO,VALLE DEL CAUCA,76892
<Null>,INVIAS-OTROS,1.996146,3,0.045918,Yumbo - Yotoco - Buga,,3.559836,-76.492298,8,YUMBO,VALLE DEL CAUCA,76892
4G017,ANI,4.334761,19,0.000015,Neiva-Girardot,IP  –  Neiva – Espinal - Girardot,4.150533,-74.888622,3,ESPINAL,TOLIMA,73268
<Null>,INVIAS-OTROS,1.811623,9,0.070044,San Roque-La Paz,,9.326617,-73.488783,6,CURUMANÍ,CESAR,20228
<Null>,INVIAS-OTROS,4.771095,19,0.000002,San Roque-La Paz,,10.289912,-73.206808,128,SAN DIEGO,CESAR,20750
<Null>,CIUDAD,2.699465,12,0.006945,,,10.46437,-73.253769,sd,VALLEDUPAR,CESAR,20001
<Null>,INVIAS-OTROS,2.10757,10,0.035068,La Paz - Maicao,,10.890788,-72.842541,6,FONSECA,LA GUAJIRA,44279
1G003,ANI,5.954884,23,0,Santa Marta-Maicao-Paraguachón,Santa Marta - Paraguachón,11.371088,-72.191169,81,MAICAO,LA GUAJIRA,44430
1G003,ANI,2.403517,11,0.016238,Santa Marta-Maicao-Paraguachón,Santa Marta - Paraguachón,11.506861,-72.76381,15,MANAURE,LA GUAJIRA,44560
1G003,ANI,4.179201,17,0.000029,Santa Marta-Maicao-Paraguachón,Santa Marta - Paraguachón,11.519362,-72.954554,88,RIOHACHA,LA GUAJIRA,44001
1G003,ANI,2.10757,10,0.035068,Santa Marta-Maicao-Paraguachón,Santa Marta - Paraguachón,11.258772,-73.160237,50,DIBULLA,LA GUAJIRA,44090
1G003,ANI,2.403517,11,0.016238,Santa Marta-Maicao-Paraguachón,Santa Marta - Paraguachón,11.229646,-73.224032,42,DIBULLA,LA GUAJIRA,44090
1G003,ANI,1.811623,9,0.070044,Santa Marta-Maicao-Paraguachón,Santa Marta - Paraguachón,11.248769,-73.779344,48,SANTA MARTA,MAGDALENA,47001
1G003,ANI,2.699465,12,0.006945,Santa Marta-Maicao-Paraguachón,Santa Marta - Paraguachón,11.276734,-74.039509,16,SANTA MARTA,MAGDALENA,47001
<Null>,DEPTO,6.842725,26,0,Cienaga - Barranquilla,,11.00709,-74.237504,62,CIÉNAGA,MAGDALENA,47189
3G012,ANI,3.883253,16,0.000103,Bosconia - Cienaga,Ruta del Sol 3,10.982643,-74.194628,96,CIÉNAGA,MAGDALENA,47189
<Null>,DEPTO,2.403517,11,0.016238,Cienaga - Barranquilla,,10.993441,-74.28516,56,PUEBLOVIEJO,MAGDALENA,47570
3G012,ANI,2.10757,10,0.035068,Bosconia - Cienaga,Ruta del Sol 3,10.893418,-74.15375,86,ZONA BANANERA,MAGDALENA,47980
3G012,ANI,2.699465,12,0.006945,Bosconia - Cienaga,Ruta del Sol 3,10.654616,-74.162503,54,ZONA BANANERA,MAGDALENA,47980
3G012,ANI,1.811623,9,0.070044,Bosconia - Cienaga,Ruta del Sol 3,10.027275,-73.911137,5,BOSCONIA,CESAR,20060
<Null>,DEPTO,2.10757,10,0.035068,Cienaga - Barranquilla,,10.974471,-74.342166,50,PUEBLOVIEJO,MAGDALENA,47570
<Null>,DEPTO,2.403517,11,0.016238,Cienaga - Barranquilla,,11.00656,-74.671399,12,SITIONUEVO,MAGDALENA,47745
3G008,ANI,9.50625,35,0,Barranquilla - Malambo - Palmar de Varela,Ruta Caribe,10.920684,-74.775729,78,SOLEDAD,ATLÁNTICO,8758
