Fecha,Ciudad,Sistema,Pasajeros/dia,Variación Transmilenio,Pasajeros día típico laboral,Pasajeros día sábado,Pasajeros día festivo,DíaSemana
08/04/2020,Cali/Valle,MIO,81396,"-0,813311927",436000,308387,149213,3
15/05/2020,Cali/Valle,MIO,118163,"0,72898394",436000,308387,149213,5
09/09/2020,Cali/Valle,MIO,,,436000,308387,149213,3
08/08/2020,Cali/Valle,MIO,99223,"-0,678251677",436000,308387,149213,6
27/05/2020,Cali/Valle,MIO,134014,"-0,69262844",436000,308387,149213,3
08/09/2020,Cali/Valle,MIO,,,436000,308387,149213,2
02/07/2020,Cali/Valle,MIO,171124,"-0,607513761",436000,308387,149213,4
04/04/2020,Cali/Valle,MIO,53112,"-0,827774841",436000,308387,149213,6
09/08/2020,Cali/Valle,MIO,48892,"-0,67233418",436000,308387,149213,7
06/06/2020,Cali/Valle,MIO,110999,"-0,640065891",436000,308387,149213,6
12/05/2020,Cali/Valle,MIO,114808,"-0,736678899",436000,308387,149213,2
16/03/2020,Bogotá,TRANSMILENIO/SITP,3020938,"-0,217385943",3860061,2499019,1188607,1
16/03/2020,Cartagena,TRANSCARIBE,78894,"-0,436471429",140000,95430,45203,1
16/03/2020,Barranquilla,TRANSMETRO,105834,"-0,266447642",144276,110000,52000,1
16/03/2020,Bucaramanga,METROLINEA,72350,"-0,318443017",106154,70267,33354,1
16/03/2020,Medellin,SITVA,1435928,"-0,24503438",1901978,1498727,780939,1
16/03/2020,Pereira,MEGABUS,93206,"-0,273083192",128221,100186,52276,1
17/03/2020,Bogotá,TRANSMILENIO/SITP,2637563,"-0,316704322",3860061,2499019,1188607,2
17/03/2020,Cartagena,TRANSCARIBE,60993,"-0,564335714",140000,95430,45203,2
17/03/2020,Barranquilla,TRANSMETRO,90534,"-0,372494386",144276,110000,52000,2
17/03/2020,Bucaramanga,METROLINEA,62696,"-0,409386363",106154,70267,33354,2
17/03/2020,Medellin,SITVA,1255005,"-0,340157983",1901978,1498727,780939,2
17/03/2020,Pereira,MEGABUS,81311,"-0,365852707",128221,100186,52276,2
