departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,direccion,producto,precio,estado,fecharegistro
19,CAUCA,19585,PURACE (COCONUCO),ESTACIÓN DE SERVICIO RIO NEGRO PALETARÁ,TEXACO,CORREGUIMIENTO DE PALETARÁ,BIODIESEL EXTRA,8770,1,05/09/2018 12:00:00 AM
25,CUNDINAMARCA,25377,LA CALERA,ESTACION DE SERVICIO BORDONES,PETROBRAS,KILOMETRO 7 VIA LA CALERA VEREDA LIBANO,BIOACEM AL 9%,8299,1,05/03/2018 12:00:00 AM
52,NARIÑO,52696,SANTA BARBARA (ISCUANDE),GASOLINERA LA ESPERANZA,BIOMAX,RIO ISCUANDE,GASOLINA CORRIENTE OXIGENADA,7553,1,05/02/2018 12:00:00 AM
23,CORDOBA,23574,PUERTO ESCONDIDO,ESTACION DE SERVICIO PUERTO ESCONDIDO,ZEUSS,CARRERA 5 No. 11-54,BIODIESEL EXTRA,9079,1,05/05/2018 12:00:00 AM
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO DECEPAZ,TERPEL,CARRERA 23 No. 103-12,GASOLINA CORRIENTE OXIGENADA,9170,1,05/03/2018 12:00:00 AM
68,SANTANDER,68081,BARRANCABERMEJA,SERVIFLUVIALES LA ABUELA,PETROMIL,CALLE 46 No. 3 -12,BIODIESEL EXTRA,8000,1,05/01/2018 12:00:00 AM
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO FERROCARRIL - GASO,MOBIL,CALLE 26 No. 4B-15,BIODIESEL EXTRA,8100,1,05/02/2018 12:00:00 AM
50,META,50313,GRANADA,ESTACION DE SERVICIO BELTRAN,TERPEL,CALLE 5 No 5 - 02 AGUAS CLARAS,GASOLINA CORRIENTE OXIGENADA,9630,1,05/03/2018 12:00:00 AM
05,ANTIOQUIA,05088,BELLO,EDS ESTRELLA RENACIMIENTO,TEXACO,CARRERA 50 No. 35 - 96,GASOLINA EXTRA OXIGENADA,12091,1,05/03/2018 12:00:00 AM
08,ATLANTICO,08433,MALAMBO,ESTACION DE SERVICIO AUTOMOTRIZ MALAMBO,ECOS,CARRETERA ORIENTAL No. 19-20,GASOLINA CORRIENTE OXIGENADA,8709,1,05/05/2018 12:00:00 AM
50,META,50287,FUENTE DE ORO,ESTACION DE SERVICIO RODRIGUEZ,BIOMAX,Trocha 7 Inspección Caño Blanco,BIODIESEL EXTRA,8200,1,03/04/2015 12:00:00 AM
52,NARIÑO,52683,SANDONA,ESTACION DE SERVICIO SERVICENTRO SAN FRANCISCO,BIOMAX,CARRERA 4 No. 1 - 09,GASOLINA CORRIENTE OXIGENADA,6910,1,05/02/2018 12:00:00 AM
52,NARIÑO,52399,LA UNION,ESTACION DE SERVICIO CUCHILLAS PEÑAS BLANCAS UNION NARIÑO,TERPEL,VEREDA CUCHILLAS PEÑAS BLANCAS,BIODIESEL EXTRA,6830,1,05/02/2018 12:00:00 AM
68,SANTANDER,68001,BUCARAMANGA,ESTACION DE SERVICIO LA BOLERA,TEXACO,CARRERA 27 NO. 58- 56,GASOLINA CORRIENTE OXIGENADA,8795,1,05/11/2018 12:00:00 AM
